Rank,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
723,DeAndre Dishman,EKU,30,27.3,4.3,7.6,0.568,0,0,0,3.1,4.8,0.634,1.7,2.4,2.2,4,6.2,1.1,0.9,0.8,11.7
724,Alex Hicks,TU,33,26.4,4.5,8,0.558,0.5,1.4,0.362,2.2,3,0.74,1.7,2.7,2.1,6.1,8.2,1.1,0.7,1.1,11.7
725,Ben Lammers,GT,32,36,4.7,10.2,0.462,0.1,0.3,0.2,2.2,3,0.747,1.5,2.1,2.4,5.7,8.1,1.7,1.2,2.4,11.7
726,T.J. Haws,BYU,35,33.7,4,9.7,0.41,1.4,4.6,0.309,2.3,2.8,0.837,1.9,2,0.3,2.4,2.7,4.2,1.2,0.3,11.7
727,Josh Langford,MSU,35,27,4.3,10.1,0.429,1.3,3.1,0.404,1.8,2.1,0.849,1.5,2.4,0.8,2.2,3,1.5,0.4,0.1,11.7
728,Terrell Gomez,CSUN,30,34.1,4,9.2,0.437,2.2,4.7,0.461,1.5,1.8,0.8,2.1,1.7,0.4,2,2.4,3.6,0.6,0,11.7
729,Elijah Stewart,USC,36,29.6,4,8.8,0.453,1.9,5,0.391,1.8,2.1,0.844,0.8,1.9,0.9,2.1,3,1.2,0.7,0.6,11.7
730,Dominic Magee,USM,32,26.3,4,8.9,0.446,1.3,3.9,0.336,2.4,3.8,0.645,1.3,1.9,0.8,5.8,6.6,1.5,0.9,0.2,11.7
731,Karonn Davis,CSU,32,31.5,4,11.6,0.342,1.3,4.8,0.271,2.4,3.1,0.788,2.5,2.1,0.7,3.3,3.9,4.6,1,0.1,11.7
732,Devon Hall,UVA,34,32.1,3.9,8.6,0.454,1.7,3.9,0.432,2.2,2.5,0.894,1,1.4,0.4,3.9,4.2,3.1,0.9,0.1,11.7
733,Noah Horchler,UNF,33,26.3,4.7,8.5,0.55,0.7,2,0.348,1.6,2.6,0.605,1.4,2.4,2.4,6.2,8.6,1.3,0.5,1.6,11.7
734,Donte Thomas,BU,33,25.9,4.5,8.4,0.543,0.2,1,0.219,2.4,3.3,0.709,1.6,2.7,2.4,4.8,7.2,1,1.1,1,11.7
735,Pablo Rivas,NCCU,33,26.6,4.5,9.2,0.495,1.3,3.7,0.347,1.3,1.7,0.754,1.2,2.9,1.9,5.2,7,1,0.8,1.1,11.7
736,Marlon Stewart,UND,32,28.1,3.8,8.7,0.432,1,3.4,0.303,3.1,4.1,0.763,2.3,2.5,0.3,2.3,2.7,3,1.3,0.1,11.7
737,Michael Ertel,ULM,32,30.2,4.3,9.8,0.435,1.7,4.7,0.358,1.4,2.1,0.667,1.2,1.8,0.4,2.7,3.1,2.3,0.8,0,11.6
738,David Crisp,UW,34,34.6,4,10.4,0.38,1.6,5.6,0.286,2.1,3.1,0.664,2.4,1.8,0.5,2.2,2.6,3.1,1.3,0.1,11.6
739,Justinian Jessup,BSU,32,29.5,3.9,8.4,0.465,2.8,6.2,0.457,1,1.2,0.795,1.3,2.2,0.4,4.3,4.7,1.8,1.3,0.6,11.6
740,Mario Matasovic,SHU,31,27.5,4.6,8.3,0.555,0.7,2.1,0.333,1.7,2.3,0.736,2.3,2.8,2.2,4.1,6.3,1.3,0.6,0.5,11.6
741,Conner Avants,UND,31,28.6,4.8,8.5,0.569,0,0,0,2,3.3,0.598,1.7,2.7,1.9,4.1,6,0.9,0.8,0.4,11.6
742,Rui Hachimura,GU,37,20.7,4.3,7.6,0.569,0.1,0.7,0.192,2.8,3.6,0.795,1.2,2,1.3,3.4,4.7,0.6,0.5,0.5,11.6
743,Alex Thompson,SU,30,24.7,4.2,9.4,0.452,1.3,4.2,0.315,1.8,2.3,0.779,0.7,2.2,0.7,3.1,3.7,0.7,0.4,0.2,11.6
744,Xavier Bishop,UMKC,32,29.8,3.8,9.9,0.385,1.4,4.2,0.333,2.5,3.4,0.75,1.9,2.7,0.5,2.4,2.9,3.3,0.7,0,11.6
745,Albert Owens,ORU,31,24.6,4.8,9.9,0.485,0,0.1,0.5,1.9,2.7,0.694,1.3,1.5,1.8,2.4,4.2,0.7,0.5,1.6,11.5
746,Jordan Goodwin,SLU,26,33.4,4.2,11.2,0.372,0.7,3.1,0.235,2.5,3.6,0.691,2.2,2.7,2.6,4.9,7.5,4,2,0.6,11.5
747,Chuck Champion,L-MD,26,30.7,4.5,11.5,0.396,1,3.1,0.321,1.5,2.1,0.704,1.9,1.8,0.7,2.1,2.8,1.6,1,0,11.5
748,Ryan Funk,MAR,30,31.3,3.6,8.6,0.42,2.6,6.3,0.407,1.8,2.3,0.757,0.8,1.8,0.3,2.6,2.9,0.5,0.4,0.2,11.5
749,Simon Okolue,DESU,27,26.7,5,8.1,0.612,0,0,0,1.6,2.5,0.632,1.6,3.3,2.9,4.2,7.1,0.3,0.6,1.1,11.5
750,Jalon Gates,HBU,31,18.5,3.6,9.5,0.378,2.4,7,0.347,1.9,2.5,0.769,0.6,0.7,0.4,1,1.4,0.5,0.3,0,11.5
751,Torry Johnson,NAU,31,26.9,3.3,8.8,0.377,0.9,2.8,0.322,4,5.1,0.774,2.6,2,0.7,1.5,2.2,1.6,1.1,0,11.5
752,J.T. Escobar,UNF,33,26.9,3.9,8.6,0.456,2.8,6.5,0.425,0.9,1,0.879,1.7,1.8,0.3,1.7,1.9,1.1,0.7,0.1,11.5
753,Jarron Cumberland,UC,36,28.9,3.8,9.4,0.409,1.7,4.9,0.339,2.2,3.2,0.678,1.8,2.1,1.2,2.7,4,2.9,1,0.4,11.5
754,Lonnie Walker,UM,32,27.8,4.1,9.9,0.415,1.8,5.1,0.346,1.5,2,0.738,1.2,1.6,0.4,2.2,2.6,1.9,0.9,0.5,11.5
755,Davell Roby,SLU,33,32.3,3.2,8.7,0.374,1.7,4.8,0.354,3.3,4.5,0.72,1.7,2.5,0.3,2.5,2.8,1.9,0.8,0.2,11.5
756,Quinton Adlesh,COM,27,29.5,4.1,8.9,0.465,2.7,6,0.442,0.5,0.7,0.684,1.5,1.6,0.5,2.9,3.4,2.3,1.1,0,11.4
757,Joshua Braun,GCU,34,29.4,3.5,9.3,0.372,1.9,5.5,0.34,2.6,3.5,0.742,1.4,2,1.4,2.4,3.8,1.4,0.8,0.5,11.4
758,Jacob Gilyard,RICH,32,36.4,3.9,8.7,0.452,1.8,4.7,0.384,1.8,2.1,0.836,1.7,1.8,0.5,1.7,2.2,4.1,2.8,0,11.4
759,Kaelon Wilson,UTA,32,30.5,3.7,9.1,0.402,1.3,3,0.438,2.8,4.3,0.652,1.8,2.2,1.4,2.8,4.2,2,0.5,0.1,11.4
760,Frankie Ferrari,USF,39,28.7,4,9.8,0.411,1.8,4.6,0.389,1.6,2,0.795,1.8,1.8,0.2,2.3,2.5,4.6,1,0,11.4
761,Shep Garner,PSU,39,32.8,3.7,8.4,0.444,3.1,7.1,0.433,0.9,1.1,0.829,1.2,2.1,0.2,1.8,2.1,1.3,0.9,0.1,11.4
762,T.J. Maston,BU,28,23,5,9.3,0.533,0.1,0.5,0.2,1.4,1.9,0.722,1.5,1.6,2.3,3.4,5.7,0.7,0.4,0.3,11.4
763,Daniel Fowler,FU,33,28.7,4,8.5,0.468,1.7,4.1,0.41,1.8,2.2,0.833,1.4,2.1,1.4,2.5,3.9,3.1,1.3,0.2,11.4
764,Kareem South,TAMU-CC,29,30.8,4.1,9.6,0.426,1.4,3.7,0.37,1.9,2.2,0.859,1.7,2.2,1.1,3.2,4.3,1.2,1,0.1,11.4
765,Payton Banks,USF,29,28.4,3.7,10,0.374,2.1,6.3,0.335,1.9,2.5,0.75,1.8,2.6,0.6,3,3.6,1.2,1.2,0.2,11.4
766,Dewan Hernandez,UM,32,25.8,4.6,8,0.576,0,0.1,0,2.2,3.2,0.689,1.4,1.9,2,4.6,6.7,0.4,0.5,1,11.4
767,Marcus Lee,Cal,32,27.8,4.7,8.4,0.563,0,0,0,2,3.2,0.612,2.7,3.6,3.1,4.1,7.2,1.3,0.7,1.6,11.4
768,Kenny Williams,UNC,37,31.1,4.2,8.7,0.486,1.9,4.8,0.402,1,1.5,0.704,1.1,1.9,1.1,2.6,3.7,2.4,1,0.5,11.4
769,Daniel Kinchen,SIUE,30,24.8,3.4,10.1,0.341,2,6.6,0.31,2.5,2.8,0.904,2.1,1.6,0.3,1.4,1.7,2.3,0.6,0,11.4
770,Keaton Wallace,UTSA,35,27.7,4,10.9,0.365,2.1,6.4,0.332,1.3,1.8,0.742,1.7,2,0.7,2.4,3.1,2.7,0.8,0.4,11.4
771,Jaron Hopkins,CSUF,25,28.6,4.6,9.2,0.507,0.3,0.8,0.368,1.8,3.1,0.577,2.4,2.3,0.9,4.8,5.7,3.1,1.4,0.4,11.4
772,Trey Landers,DAY,29,28.9,4.3,7.4,0.583,0.7,1.9,0.352,2,2.8,0.725,2,2.7,2.2,3.3,5.6,1.8,1.1,0.4,11.3
773,Jonah Antonio,MSMU,32,33.5,3.8,10.4,0.366,2.8,8.3,0.338,0.9,1.1,0.806,0.6,1.3,0.4,3.3,3.8,0.7,1.3,0.6,11.3
774,Darius McNeill,Cal,32,32.8,4,10.5,0.381,2.1,5.9,0.353,1.2,1.7,0.741,2.2,2.4,0.3,2.6,2.9,2.2,1.2,0.2,11.3
775,Isaiah Ross,UMKC,32,25.2,3.8,9.4,0.4,2.2,6.1,0.359,1.7,2.1,0.779,1.5,2,0.7,2.4,3.1,1,0.5,0,11.3
776,Skylar Mays,LSU,33,31.1,3.8,8.5,0.443,1.4,4.1,0.351,2.3,2.8,0.837,1.7,1.6,0.5,3.5,4,2.9,1.6,0.2,11.3
777,John Davis III,FU,33,27.7,4.2,8.5,0.486,1.3,3.5,0.386,1.7,2.2,0.757,1.4,1.3,0.4,2.2,2.7,2.6,1.4,0.1,11.3
778,Ryan Jones,UML,30,31.6,3.8,8.5,0.449,1.4,3.8,0.381,2.3,3.3,0.697,2.3,1.6,0.7,3.9,4.6,3,0.6,0.2,11.3
779,Aaron Menzies,SEA,34,26.9,4.4,7.3,0.609,0,0,0,2.4,3.8,0.648,1.2,3.1,3.5,5.4,8.9,0.6,0.3,2.3,11.3
780,"Troy Brown, Jr.",UO,35,31.2,4.1,9.2,0.444,0.9,3.1,0.291,2.2,3,0.743,2.5,2.2,1.5,4.7,6.2,3.2,1.6,0.2,11.3
781,Kyle Washington,UC,36,23.3,4.6,9.1,0.505,0.6,1.6,0.357,1.6,2.1,0.74,1.2,1.8,1.7,3.8,5.5,0.4,0.2,1.4,11.3
782,K.J. Maura,UMBC,33,35.1,3.7,7.9,0.469,1.9,4.5,0.432,1.9,2.2,0.863,1.9,1.5,0.6,1.6,2.2,5,2,0,11.3
783,Trip Day,UNF,33,19.9,4.6,7.8,0.585,0.7,1.6,0.415,1.5,2,0.742,1.4,2.5,1.8,2.3,4.2,0.9,0.6,0.5,11.3
784,Mike Hughes,GSU,33,30.6,3.2,9.3,0.343,1.8,5.5,0.322,3.2,4,0.789,1.5,2.4,0.6,3.9,4.5,1.7,1,0.4,11.3
785,Eyassu Worku,UCI,35,28.5,4.2,11,0.381,0.9,3,0.311,1.9,2.6,0.756,2.2,1.6,0.7,2.4,3.1,3.7,1.1,0,11.3
786,Deon Lyle,UTSA,35,19.6,3.9,9.3,0.416,2.7,6.8,0.403,0.8,1.2,0.628,1,2.1,0.8,2.9,3.7,0.3,0.3,0.1,11.3
787,Dererk Pardon,NU,32,31,4.5,7.2,0.619,0,0,0,2.3,3.8,0.615,1.4,2.9,3.3,3.8,7.1,1.2,0.6,1.8,11.3
788,Trey Moses,BSU,32,26.1,4.2,7.3,0.57,0,0,0,2.9,4.8,0.6,2.2,2.4,2.5,5.6,8.2,2.1,0.5,0.8,11.3
789,Bashir Ahmed,STJ,33,30.2,3.9,9.7,0.408,1.3,3.9,0.344,2.1,3.4,0.613,1.5,2.8,1.6,3.1,4.7,0.9,1.1,0.3,11.3
790,Zhaire Smith,TTU,37,28.4,4.2,7.5,0.556,0.5,1.1,0.45,2.5,3.4,0.717,1.1,1.8,2.2,2.8,5,1.8,1.1,1.1,11.3
791,Calvin Hermanson,SMC,36,32.2,3.9,7.9,0.495,2.1,4.8,0.443,1.3,1.7,0.787,1,2.5,0.8,2.5,3.2,1.1,0.8,0.3,11.2
792,Matt Rafferty,FU,33,26.3,4.5,7.5,0.598,0.4,1.2,0.333,1.9,2.7,0.719,1,2.5,2.2,4.9,7.2,2.8,1.6,0.6,11.2
793,"Lovell Cabbil, Jr.",LIB,33,32.4,3.6,9.3,0.386,1.5,4.4,0.329,2.6,3.1,0.853,2.1,1.9,0.4,4.2,4.6,3.7,1.3,0.4,11.2
794,Paris Collins,JSU,25,29.1,4.2,12,0.355,1.4,5,0.282,1.4,2.2,0.607,1.8,2.6,2.1,4,6.1,2.5,2.9,0.5,11.2
795,Alex Copeland,YALE,30,26.6,4.1,9.2,0.449,0.8,2.2,0.358,2.2,2.5,0.867,2.1,1.3,0.4,2,2.5,2.7,1.1,0,11.2
796,Jason Burnell,JSU,35,25.4,4.1,8.1,0.511,0.8,2.3,0.338,2.2,2.8,0.788,1.5,2.7,1.8,4.2,6,1.8,0.8,1,11.2
797,Jair Bolden,GW,32,32.6,4.1,11.1,0.368,1.7,5.4,0.318,1.3,1.9,0.677,2.3,1.7,0.4,2.7,3,3.1,0.8,0.3,11.2
798,Jarrett Culver,TTU,37,26.4,3.9,8.6,0.455,1.5,3.9,0.382,1.9,2.9,0.648,1.5,2.1,1.1,3.7,4.8,1.8,1.1,0.7,11.2
799,Lukas Meisner,COM,25,27.5,4.2,8.5,0.5,1.7,4.1,0.417,1,1.7,0.595,1.9,2.9,1.4,6,7.5,1.8,0.5,0.4,11.2
800,Arthur Johnson,AAMU,31,27.8,3.9,9.6,0.406,1.5,4.4,0.353,1.8,2.5,0.731,2.6,2.8,1.5,3.8,5.3,1.5,0.7,0.1,11.2
801,Josh Hearlihy,SEA,32,28.2,3.3,7.8,0.424,1.2,3,0.402,3.3,4.1,0.811,2.7,2,0.8,3.4,4.1,2.8,0.6,0.2,11.2
802,Roland Griffin,IC,33,23.9,4.4,8.2,0.531,0.1,0.3,0.222,2.4,3.6,0.669,1.5,2.8,1.2,4,5.2,1.4,0.5,0.7,11.2
803,Matisse Thybulle,UW,34,32.2,4.1,9.3,0.445,1.7,4.7,0.365,1.2,1.6,0.714,2.2,2.4,0.9,2.1,2.9,2.6,3,1.4,11.2
804,Samuel Idowu,SPC,32,24.3,4.1,8.7,0.471,0.8,3,0.284,2.1,2.7,0.8,1.4,3.1,1.7,4.2,5.9,0.8,0.5,1.2,11.2
805,Iziahiah Sweeney,NSU,27,25.3,4.3,10.7,0.401,0.8,3.1,0.25,1.8,2.6,0.686,2.2,2.6,1.2,2.4,3.6,1.4,1,0.3,11.1
806,Johnny Hamilton,UTA,34,23.4,4.3,6.8,0.629,0,0,0,2.6,3.9,0.664,1.9,2.9,2.9,5.1,8.1,0.6,0.5,2.3,11.1
807,JoJo Anderson,NAU,28,25.3,2.6,7.4,0.346,1.4,4.2,0.325,4.6,5.7,0.812,2.3,1.6,0.2,1.5,1.8,2.2,0.5,0.1,11.1
808,Thomas Bruce,BU,29,31.1,4.6,7.6,0.597,0,0,0,2,3.8,0.541,1.8,2.7,1.9,6.9,8.8,1.3,0.6,2.1,11.1
809,Miryne Thomas,UMES,29,26.3,4,9.1,0.438,0.3,1.8,0.157,2.9,4.4,0.654,2.5,3.4,2.5,5.3,7.8,0.9,0.6,0.4,11.1
810,Xavier Sneed,KSU,37,31.4,3.8,9.1,0.417,1.8,5.1,0.344,1.8,2.4,0.739,1.1,2.3,1.1,3.9,5.1,1.8,1.6,0.3,11.1
811,Elijah Mays,FAMU,30,29.5,4.3,9,0.481,1,2.2,0.448,1.5,1.7,0.863,1.8,2.6,0.3,1.8,2.1,2.8,0.9,0,11.1
812,Marques Townes,L-IL,38,28.1,4.2,8.2,0.514,0.8,2,0.387,1.9,2.6,0.747,2,1.5,0.6,3.4,4,2.4,0.9,0.2,11.1
813,Jalen Jordan,SFC,31,27.6,3.5,8.4,0.415,2.1,5.1,0.408,2.1,2.5,0.844,1.1,1.8,0.5,2.4,2.9,1,0.6,0.1,11.1
814,Rich Kelly,QU,33,34.2,3.7,9.5,0.39,1.5,4.9,0.317,2.2,2.8,0.766,2.9,1.9,0.3,2,2.3,4.7,0.7,0.1,11.1
815,Martin Geben,ND,36,24.8,4.4,7.2,0.606,0,0.1,0.333,2.4,2.8,0.85,1.7,2,2.9,5.1,8,1.2,0.6,0.9,11.1
816,Jordan Ford,SMC,36,27.4,4.2,8.2,0.508,1.4,3.2,0.443,1.4,1.8,0.754,0.9,1.4,0.5,2.2,2.7,1.6,0.9,0.1,11.1
817,Jake Pemberton,UD,30,32.6,4,8.4,0.47,1.9,4.1,0.452,1.3,1.6,0.812,1.8,2.5,0.2,3,3.3,2.8,1.3,0.1,11.1
818,Doral Moore,WF,31,25.5,4.9,7.2,0.689,0,0,0,1.2,2.7,0.458,1.3,2.9,3.2,6.2,9.4,0.3,0.4,2,11.1
819,Broderick Robinson,UMKC,31,31.6,3.6,9.3,0.391,2,5.7,0.358,1.8,2.5,0.696,1.5,2,1,4.2,5.2,1.9,1.4,0.1,11.1
820,B.J. Glasford,STET,32,26.4,4.3,10.3,0.417,1.3,3.9,0.331,1.2,1.8,0.667,1.6,2.3,0.9,3,3.9,1.8,1.4,0.3,11.1
821,Deshawn Freeman,RU,33,25.4,4.1,10.1,0.402,0.2,1,0.156,2.8,3.9,0.715,1.9,2.3,2.5,4.8,7.3,0.9,1.5,0.7,11.1
822,Sammy Mojica,DREX,33,35.6,3.9,10.3,0.378,1.9,5.9,0.32,1.5,2.2,0.649,1.4,2.1,1.3,2.7,4,1.5,1.5,0.3,11.1
823,Isaiah White,UM,24,27.6,4.1,9.4,0.434,1.5,4.1,0.357,1.5,2.1,0.7,1.5,2.2,1.2,3.5,4.6,0.9,1.2,1.2,11.1
824,Austin Tilghman,MU,30,33.4,3.6,7.7,0.463,0.3,1.3,0.211,3.7,5,0.728,2.9,1.8,0.6,5.3,5.9,5.5,1.4,0.1,11.1
825,Eddie Reese,SUBR,31,29.2,3.5,8.6,0.402,2,5.4,0.363,2.2,3.1,0.701,2.3,2,0.6,2.6,3.2,3.4,1.1,0.5,11.1
826,D.J. Hogg,TAMU,32,30.9,3.7,9.1,0.41,2,5.4,0.378,1.6,2.2,0.718,1.6,2.1,1.2,4.1,5.3,2.6,0.8,0.9,11.1
827,Josh McFolley,UDM,32,25.1,3.7,9,0.408,1.7,4.8,0.342,2,2.6,0.783,1.3,2.6,0.5,1.7,2.2,1.5,1.5,0.1,11.1
828,Isaiah Moss,UI,33,24.2,3.9,9.3,0.42,1.5,3.8,0.386,1.8,2,0.879,1.2,1.4,0.5,1.7,2.2,1.9,0.7,0.2,11.1
829,Chris Chiozza,UF,34,32,3.9,9.2,0.417,1.1,3.2,0.349,2.2,2.8,0.809,1.8,2.1,0.5,3.8,4.3,6.1,1.9,0.1,11.1
830,Andrew Kostecka,L-MD,26,28.9,3.8,8.3,0.452,0.8,2.5,0.323,2.7,3.6,0.745,1.5,2.7,0.7,3,3.7,1.8,2.1,1.1,11
831,LaMontray Harris,MSU,26,23.2,4.1,8.7,0.471,0.7,2.6,0.25,2.2,2.6,0.866,2.1,3.1,2.2,4.2,6.3,0.9,0.5,0.3,11
832,A.J. Hicks,MSU,29,30.5,3.4,8,0.424,0.9,2.8,0.312,3.4,5.3,0.639,2.9,2.1,0.8,2.2,3,4.2,1.8,0.3,11
833,Jemerrio Jones,NMSU,34,28.4,4.9,9.8,0.503,0.1,1.3,0.093,1.1,2.1,0.521,2.4,2.2,3.7,9.5,13.2,3.1,1.1,0.6,11
834,Raekwon Miller,UNCA,34,29.1,3.4,7,0.479,2,4.2,0.472,2.3,3,0.767,2.6,2.6,0.6,3.9,4.5,3.3,1.2,0.1,11
835,Donte Ingram,L-IL,38,30.6,3.9,8.7,0.443,1.9,5,0.392,1.3,2,0.68,1.4,1.6,0.5,5.9,6.4,1.6,0.9,0.4,11
836,Dwight Coleby,WKU,38,27.6,4.2,7.1,0.596,0,0,0,2.5,3.4,0.75,1.6,2.7,2.5,5.5,8,0.6,0.6,1.7,11
837,Eric Carter,UD,30,29,4,6.8,0.593,0,0,0,2.9,4.5,0.657,2,3.2,2.4,6.7,9.1,1.8,0.6,0.8,11
838,Aundre Jackson,L-IL,38,18.9,4.5,7.8,0.576,0.5,1.4,0.364,1.5,2,0.753,1.6,2.4,0.9,2.3,3.2,0.9,0.4,0.3,11
839,Noah Morgan,FDU,30,27.9,3.9,8.2,0.476,1.6,3.7,0.436,1.6,1.9,0.828,2,2.8,1.3,3.6,4.9,1.4,0.8,0.7,11
840,Kevaughn Allen,UF,34,31.4,3.5,9.7,0.361,1.7,5.3,0.328,2.3,2.5,0.906,1.3,1.4,0.4,2,2.4,2.4,1,0.5,11
841,Nathan Hoover,WC,34,27.1,3.7,8.6,0.425,2.1,5.1,0.405,1.6,1.9,0.831,1.1,1.2,0.5,2.1,2.6,1.4,0.6,0.1,11
842,Justin Kier,GMU,33,33.2,4.1,9,0.451,0.2,1.4,0.174,2.6,3.4,0.784,2.8,2.2,0.2,4.4,4.6,2.3,1.3,0.1,11
843,Khwan Fore,RICH,29,32.1,4,8.4,0.48,0.4,1.4,0.275,2.6,3.9,0.655,1.5,2.2,0.8,2.4,3.2,2.7,0.9,0.1,11
844,Drew Urquhart,UVM,35,23.9,4.1,6.7,0.609,0.4,0.7,0.5,2.4,3.2,0.766,1.1,2.5,1.3,3.9,5.3,1.7,0.2,1.1,11
845,Souley Boum,USF,36,20.3,3.1,8.6,0.363,1.3,3.6,0.362,3.4,4.1,0.829,1.7,1.7,0.6,2.1,2.6,1,0.5,0.1,10.9
846,Brandon Randolph,UVU,33,32.4,3.8,8.8,0.439,1,2.7,0.382,2.2,3,0.737,2.6,1.9,0.6,3.3,3.9,4.6,1.1,0.1,10.9
847,Jahlil Tripp,PAC,32,35.1,3.9,8.8,0.445,0.5,1.7,0.315,2.6,3.9,0.656,2.9,2.8,2.4,5.4,7.8,4.5,1.5,0.2,10.9
848,"Jaren Jackson, Jr.",MSU,35,21.8,3.4,6.6,0.513,1.1,2.7,0.396,3,3.8,0.797,1.8,3.2,1.5,4.3,5.8,1.1,0.6,3,10.9
849,Kerem Kanter,XAV,35,16.4,4.2,7.1,0.584,0.5,1.5,0.333,2.1,2.7,0.777,0.8,1.3,1.3,3.3,4.5,0.5,0.3,0.3,10.9
850,Demetre Rivers,MER,34,28.5,3.7,7.2,0.51,1.2,3.5,0.353,2.3,2.6,0.898,1.4,1.8,1,2.3,3.2,0.9,0.5,0.2,10.9
851,Goanar Mar,GMU,33,31.9,3.3,7.7,0.431,1.2,3.4,0.357,3.1,3.9,0.797,1.8,2.8,1.9,2.5,4.4,0.8,0.7,0.1,10.9
852,Amir Bell,PRIN,29,34.5,3.9,8.7,0.444,1.1,3,0.368,2.1,3.2,0.652,1.5,3.1,0.8,4.6,5.4,3.7,1.4,0.7,10.9
853,Aric Holman,MSU,37,23,3.9,6.9,0.573,1,2.3,0.44,2,2.7,0.733,1.3,1.9,2.1,4.6,6.7,0.8,0.5,1.8,10.9
854,Devin Davis,U of H,35,26,4.5,9.2,0.488,0,0.2,0.143,1.9,2.8,0.68,1.1,2.9,1.6,4.7,6.3,1.3,0.7,0.7,10.9
855,Lamonte Turner,UT,35,25.3,3.4,8.5,0.399,2,5.1,0.395,2.1,2.4,0.882,1.2,2,0.5,2.6,3.2,2.2,0.7,0.1,10.9
