Rank,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
701,Taylor Funk,SJU,32,28.8,4,9.3,0.426,2.6,6.7,0.394,1.3,1.5,0.837,1.1,2.2,1,3.8,4.9,1.3,0.8,0.5,11.8
702,Jaylen Fornes,UNCW,32,28.2,4,9,0.439,1.6,4.2,0.373,2.3,3.1,0.75,2,2.4,1.5,2.5,4,2,0.5,0.2,11.8
703,Dale Jones,UND,30,26.1,4,9.2,0.435,2.3,6,0.376,1.6,1.9,0.825,1.6,3.3,0.6,5.9,6.5,1,0.6,0.4,11.8
704,Adonis De La Rosa,KSU,34,25.7,4,7.1,0.566,0,0,0,3.8,4.8,0.785,3.3,3.6,3,4.6,7.6,1,0.6,0.6,11.8
705,Jashaun Agosto,LIU,34,36.3,4.1,10.1,0.404,1.5,4.7,0.327,2.2,2.9,0.755,2.4,2.5,0.4,3.8,4.2,4.2,0.7,0.1,11.8
706,Jalan McCloud,ETSU,33,26.3,4.4,9,0.485,0.9,2.4,0.388,2.2,2.9,0.74,2.4,2,0.5,2.4,2.9,3.5,1.1,0.2,11.8
707,Christian Sengfelder,BSU,32,28.5,4.3,9.1,0.473,1.8,4.6,0.385,1.4,1.9,0.738,1.3,1.9,2.2,4.4,6.6,0.6,0.6,0.3,11.8
708,Omega Harris,UTEP,31,32.7,4.1,9.2,0.446,1.5,4,0.374,2.1,2.8,0.759,1.5,2.2,0.2,3.6,3.7,2,1,0.2,11.8
709,MiKyle Mcintosh,UO,36,28.1,4.1,8.9,0.457,1,2.9,0.356,2.6,3.6,0.729,1.8,3.3,1.6,4.6,6.1,1.5,0.8,0.3,11.8
710,Daniel Gafford,U of A,35,22.6,4.7,7.7,0.605,0,0,0,2.4,4.6,0.528,1.1,3.3,2.2,4,6.2,0.7,0.5,2.2,11.8
711,Sterling Taplin,TU,30,28.2,4.2,9.2,0.462,1.3,3.5,0.362,2.1,2.8,0.729,2.4,1.8,0.2,3.6,3.7,4.4,0.9,0.1,11.8
712,Kyron Cartwright,PROV,34,31.2,4.1,9.5,0.427,1.1,3,0.376,2.6,3.4,0.763,2.7,1.9,0.3,2.5,2.9,5.8,1.3,0,11.8
713,Bryant McIntosh,NU,29,31.3,4.4,11.3,0.388,1.3,4,0.333,1.7,2,0.845,2.6,1.6,0.4,1.9,2.4,5.1,0.4,0.1,11.8
714,Lamonte Bearden,WKU,38,27.7,4,8.3,0.476,0.5,1.6,0.311,3.3,4.1,0.825,2.4,2.2,0.6,1.8,2.3,3.4,1.7,0.2,11.8
715,Dante Sterling,ASU,32,27.1,3.6,9.3,0.388,1.8,5,0.36,2.7,3.3,0.813,2.1,1.4,0.7,2.6,3.3,1.5,1,0.1,11.8
716,Dylan Frye,BGSU,31,29.6,4,10.6,0.377,1.9,5.4,0.353,1.9,2.6,0.725,1.6,2.1,0.4,2.8,3.2,2.4,0.7,0.2,11.8
717,Nick McGlynn,DU,34,23.1,4.7,9.1,0.523,0.2,0.7,0.333,2.1,2.7,0.753,1.1,3.1,2.1,3.7,5.7,1.1,0.4,1.6,11.8
718,Jordan Strawberry,MER,34,30.8,3.6,9.7,0.37,1.5,4.6,0.318,3.1,3.6,0.876,1.7,1.5,0.6,2.9,3.5,4.9,0.7,0.1,11.8
719,Tyree Appleby,CSU,34,25.7,3.8,8.5,0.445,1.1,3.3,0.324,3.1,4.4,0.716,3.4,2,0.5,1.9,2.4,4,1.3,0.2,11.8
720,Quentin Snider,U of L,36,32.1,3.8,9.4,0.397,1.9,4.6,0.416,2.3,2.7,0.866,1.5,1.1,0.4,2.3,2.7,4,0.5,0,11.8
721,Carlik Jones,RU,36,30.4,4,9.7,0.413,1,3.3,0.305,2.8,3.6,0.767,1.7,1.6,0.6,3.4,3.9,3.1,1.1,0.2,11.8
722,Elijah Cain,DEP,31,33.5,4.1,11.7,0.348,1.2,3.7,0.313,2.5,3.7,0.661,2.4,2,0.6,3.1,3.7,4.7,0.9,0.3,11.7
